Author|||Retrospective|||for cap1NumPer:HIGH allDigit:NO containAt:NO authorPer:NO capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:NO digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:YES noteNumPer:MID keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:NO affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:3 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:MID isPage:NO isAffi:NO isPubNum:MID isPostCode:NO isPrep:NO isState:NO isURL:NO isCountry:NO isIntro:NO isNote:MID isPhone:NO isEmail:NO isMayName:NO  0 FIR FIR <abstract>
Tse-Yu|||Yeh cap1NumPer:YES allDigit:NO containAt:NO authorPer:NO capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:NO digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:YES noteNumPer:NO keywordPer:NO containLR:NO containDash:YES lonelyInitialPer:NO affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:2 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:NO isPubNum:NO isPostCode:NO isPrep:NO isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:NO  3 YES YES <email>
Apple|||Inc. cap1NumPer:YES allDigit:NO containAt:NO authorPer:NO capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:HIGH digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:YES singleAlphaNumPer:HIGH shortPhrasePer:YES noteNumPer:NO keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:HIGH affiNumPer:HIGH phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:2 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:HIGH isPubNum:NO isPostCode:NO isPrep:HIGH isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:NO  4 NO YES <abstract>
Cupertino,|||CA cap1NumPer:YES allDigit:NO containAt:NO authorPer:NO capAllNumPer:HIGH containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:HIGH digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:YES noteNumPer:NO keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:NO affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:1 wordNum:2 isAbstract:NO isKeyWord:NO isAddr:NO isCity:HIGH isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:NO isPubNum:NO isPostCode:HIGH isPrep:HIGH isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:NO  5 NO NO <abstract>
tyyeh@apple.com cap1NumPer:NO allDigit:NO containAt:YES authorPer:NO capAllNumPer:NO containDigit:NO emailPer:YES singleCharPer:NO digitMore3:NO puncPer:YES digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:YES singleAlphaNumPer:HIGH shortPhrasePer:YES noteNumPer:NO keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:YES affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:1 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:NO isPubNum:NO isPostCode:NO isPrep:NO isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:YES isMayName:NO  7 NO NO <email>
Original|||paper:|||http://dx.doi.org/10.1145/165939.165956 cap1NumPer:MID allDigit:NO containAt:NO authorPer:NO capAllNumPer:NO containDigit:YES emailPer:NO singleCharPer:NO digitMore3:YES puncPer:YES digitMore7:YES singleDigitNumPer:MID dateNumPer:NO containDot:YES singleAlphaNumPer:MID shortPhrasePer:YES noteNumPer:NO keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:YES affiNumPer:NO phoneNumPer:NO urlPer:MID cap1Per:NO containKey_Word:false commaNum:0 wordNum:3 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:NO isPubNum:MID isPostCode:NO isPrep:MID isState:NO isURL:MID isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:NO  8 YES YES <abstract>
Categories|||and|||Subject|||Descriptors cap1NumPer:HIGH allDigit:NO containAt:NO authorPer:NO capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:NO digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:NO noteNumPer:MID keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:NO affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:4 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:NO isPubNum:NO isPostCode:NO isPrep:MID isState:NO isURL:NO isCountry:NO isIntro:NO isNote:MID isPhone:NO isEmail:NO isMayName:NO  9 YES YES <abstract>
C.1.1|||[Computer|||Systems|||Organization]:|||Processor|||Ar- cap1NumPer:HIGH allDigit:NO containAt:NO authorPer:NO capAllNumPer:MID containDigit:YES emailPer:NO singleCharPer:NO digitMore3:NO puncPer:MID digitMore7:NO singleDigitNumPer:MID dateNumPer:NO containDot:YES singleAlphaNumPer:HIGH shortPhrasePer:NO noteNumPer:NO keywordPer:NO containLR:NO containDash:YES lonelyInitialPer:MID affiNumPer:MID phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:6 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:MID isDegree:NO isPage:NO isAffi:MID isPubNum:MID isPostCode:NO isPrep:MID isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:NO  10 YES YES <abstract>
chitectures—Single|||data|||stream|||architectures cap1NumPer:NO allDigit:NO containAt:NO authorPer:NO capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:NO digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:NO noteNumPer:NO keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:NO affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:4 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:NO isPubNum:MID isPostCode:NO isPrep:HIGH isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:NO  11 NO NO <abstract>
Keywords cap1NumPer:YES allDigit:NO containAt:NO authorPer:NO capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:NO digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:YES noteNumPer:NO keywordPer:YES containLR:NO containDash:NO lonelyInitialPer:NO affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:1 isAbstract:NO isKeyWord:YES isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:NO isPubNum:NO isPostCode:NO isPrep:NO isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:NO  12 YES YES <abstract>
Branch|||prediction cap1NumPer:HIGH allDigit:NO containAt:NO authorPer:NO capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:NO digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:YES noteNumPer:NO keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:NO affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:2 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:NO isPubNum:NO isPostCode:NO isPrep:NO isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:NO  13 YES YES <abstract>
“Increasing|||the|||Instruction|||Fetch|||Rate|||via|||Multiple|||Branch cap1NumPer:HIGH allDigit:NO containAt:NO authorPer:NO capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:NO digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:NO noteNumPer:NO keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:NO affiNumPer:MID phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:8 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:MID isPubNum:MID isPostCode:NO isPrep:MID isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:NO  14 NO NO <abstract>
Prediction|||and|||a|||Branch|||Address|||Cache”was|||the|||first|||paper cap1NumPer:MID allDigit:NO containAt:NO authorPer:NO capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:MID digitMore3:NO puncPer:NO digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:NO noteNumPer:MID keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:NO affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:9 isAbstract:NO isKeyWord:NO isAddr:MID isCity:NO isMonth:NO isSingleCap:NO isDegree:MID isPage:NO isAffi:NO isPubNum:MID isPostCode:NO isPrep:NO isState:NO isURL:NO isCountry:NO isIntro:NO isNote:MID isPhone:NO isEmail:NO isMayName:NO  15 NO NO <abstract>
to|||propose|||a|||highly|||accurate|||hardware|||mechanism|||for|||pre- cap1NumPer:NO allDigit:NO containAt:NO authorPer:NO capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:MID digitMore3:NO puncPer:NO digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:NO noteNumPer:NO keywordPer:NO containLR:NO containDash:YES lonelyInitialPer:NO affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:9 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:NO isPubNum:NO isPostCode:NO isPrep:MID isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:NO  16 NO NO <abstract>
dicting|||and|||fetching|||multiple|||non-contiguous|||basic|||blocks cap1NumPer:NO allDigit:NO containAt:NO authorPer:NO capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:NO digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:NO noteNumPer:NO keywordPer:NO containLR:NO containDash:YES lonelyInitialPer:NO affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:7 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:NO isPubNum:NO isPostCode:NO isPrep:MID isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:NO  17 NO NO <abstract>
using|||leading-edge|||aggressive|||branch|||predictors|||of|||the|||time. cap1NumPer:NO allDigit:NO containAt:NO authorPer:NO capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:MID digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:YES singleAlphaNumPer:HIGH shortPhrasePer:NO noteNumPer:NO keywordPer:NO containLR:NO containDash:YES lonelyInitialPer:MID affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:8 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:NO isPubNum:NO isPostCode:NO isPrep:MID isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:NO  18 NO NO <abstract>
Prior|||to|||this|||paper,|||the|||methods|||to|||increase|||fetch|||bandwidth cap1NumPer:MID allDigit:NO containAt:NO authorPer:NO capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:MID digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:NO noteNumPer:NO keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:NO affiNumPer:MID phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:1 wordNum:10 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:MID isPubNum:MID isPostCode:NO isPrep:MID isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:NO  19 NO NO <abstract>
relied|||on|||software|||and|||compiler|||mechanisms|||to|||increase|||the cap1NumPer:NO allDigit:NO containAt:NO authorPer:NO capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:NO digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:NO noteNumPer:NO keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:NO affiNumPer:MID phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:9 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:MID isPubNum:NO isPostCode:NO isPrep:MID isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:NO  20 NO NO <abstract>
size|||of|||the|||basic|||blocks|||themselves.|||The|||publication|||of|||our cap1NumPer:MID allDigit:NO containAt:NO authorPer:NO capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:MID digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:YES singleAlphaNumPer:HIGH shortPhrasePer:NO noteNumPer:NO keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:MID affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:10 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:NO isPubNum:NO isPostCode:NO isPrep:MID isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:NO  21 NO NO <abstract>
paper|||inspired|||an|||explosion|||of|||research|||to|||further|||improve cap1NumPer:NO allDigit:NO containAt:NO authorPer:MID capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:NO digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:NO noteNumPer:MID keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:NO affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:9 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:MID isPage:NO isAffi:NO isPubNum:MID isPostCode:NO isPrep:MID isState:NO isURL:NO isCountry:NO isIntro:NO isNote:MID isPhone:NO isEmail:NO isMayName:MID  22 NO NO <abstract>
the|||accuracy|||of|||multiple|||branch|||prediction,|||reduce|||complex- cap1NumPer:NO allDigit:NO containAt:NO authorPer:NO capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:MID digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:HIGH noteNumPer:NO keywordPer:NO containLR:NO containDash:YES lonelyInitialPer:NO affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:1 wordNum:8 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:NO isPubNum:NO isPostCode:NO isPrep:MID isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:NO  23 NO NO <abstract>
ity|||of|||fetching|||multiple|||basic|||blocks,|||or|||increase|||the|||fetch cap1NumPer:NO allDigit:NO containAt:NO authorPer:NO capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:MID digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:NO noteNumPer:NO keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:NO affiNumPer:MID phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:1 wordNum:10 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:MID isPubNum:NO isPostCode:NO isPrep:MID isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:NO  24 NO NO <abstract>
